lon,lat
139.700337,35.65965526
139.699755,35.66007605
139.6992789,35.66015742
139.6992122,35.66019694
139.6990397,35.66024112
139.6987936,35.66031783
139.6985635,35.66042245
139.6982093,35.66057589
139.6977723,35.66075722
139.6968522,35.66117569
139.6996998,35.65966224
139.6990903,35.65979243
139.6986095,35.65997609
139.6983611,35.66007373
139.6975239,35.66039688
139.6965555,35.66096181
139.6970799,35.6613361
139.6979586,35.6610362
139.6982944,35.66095716
139.6980552,35.66124776
139.6977033,35.66171272
139.6977838,35.66174527
139.6980322,35.66140817
139.6981196,35.66128263
139.6986486,35.6607828
139.698697,35.66075257
139.6986901,35.66085719
139.6987913,35.6607177
139.6993962,35.66062936
139.6999804,35.66052939
139.7006521,35.66037363
139.7006659,35.66051312
139.6997251,35.66068283
139.6997067,35.66060379
139.6995434,35.6607177
139.6998125,35.66107107
139.7001369,35.66137097
139.7006406,35.66099203
139.6993847,35.6619824
139.6988258,35.66168947
139.6983726,35.66158253
139.6980943,35.66226137
139.6992122,35.66228927
139.6994008,35.66226835
139.7002588,35.66148954
139.7003232,35.66220325
139.7006774,35.66213119
139.7006153,35.66125241
139.6990535,35.66075722
139.6992099,35.66087579
139.6993272,35.66145467
139.6966498,35.66149186
139.6970845,35.6617011
139.6973007,35.66149651
139.6962795,35.66126636
139.6960886,35.66149884
139.6959689,35.66161973
139.6947315,35.66285885
139.6959045,35.66158951
139.6954721,35.66209399
139.6950834,35.66248223
139.694674,35.66277981
139.6946072,35.66283793
139.694674,35.66289837
139.6948511,35.66301926
139.6950351,35.66315643
139.6954606,35.6635284
139.6953134,35.66376088
139.6955756,35.66386084
139.6957803,35.66368183
139.6956492,35.66353305
139.6960035,35.6632192
139.6962611,35.66338426
139.6960932,35.66352607
139.6961622,35.66357257
139.696843,35.66252175
139.6969787,35.66240551
139.6970569,35.66271936
139.6973237,35.66226137
139.6974411,35.66217536
139.6972225,35.66218698
139.6973629,35.66211026
139.6968223,35.66241714
139.6966291,35.6622823
139.6967671,35.66210794
139.696222,35.66178479
139.6984853,35.66228927
139.6986026,35.66228927
139.6984531,35.66242411
139.6986118,35.66243341
139.6981932,35.66378645
139.6983588,35.66319362
139.6989684,35.6640352
139.6991225,35.66345633
139.6991432,35.66337263
139.699157,35.66245898
139.6993433,35.66246828
139.6993226,35.66296347
139.6993111,35.66341448
139.6992881,35.6635284
139.6997941,35.66341681
139.6997274,35.66292395
139.700314,35.66257522
139.6997274,35.66263102
139.7001921,35.6629193
139.7002381,35.66338426
139.6998401,35.66392594
139.6998562,35.66415609
139.7012156,35.66411425
139.7011581,35.66354002
139.701027,35.66332149
139.7006751,35.66236134
139.7003416,35.66233809
139.7011788,35.66319827
139.7009028,35.66230787
139.7009235,35.66209631
139.7012616,35.66450714
139.6999482,35.66462338
139.6989753,35.66455596
139.6988948,35.6646722
139.6987223,35.66461176
139.6984807,35.66478147
139.6988051,35.66487679
139.6969488,35.66434208
139.6968154,35.66429791
139.6967096,35.66447924
139.6968936,35.66453039
139.6973997,35.66270541
139.6972915,35.66276353
139.6971259,35.66339821
139.6968775,35.66338193
139.6947154,35.66492096
139.6946624,35.6634726
139.6944646,35.66336333
139.6942852,35.66323779
139.6940575,35.66305646
139.6944876,35.66268449
139.6948902,35.66236134
139.6952421,35.66194288
139.6956998,35.66138027
139.6952145,35.66114082
139.6959436,35.66143374
139.6948212,35.6607642
139.6946118,35.66081999
139.6947775,35.66166855
139.6944048,35.66208701
139.6940805,35.66233344
139.6942346,35.66118034
139.6946809,35.66058751
139.6947131,35.66047592
139.6948879,35.66038525
139.6954192,35.66006908
139.6955434,35.66015742
139.6955687,35.65998539
139.6954445,35.65992262
139.6950305,35.65990402
139.6949017,35.65983892
139.6947844,35.66009233
139.6941426,35.65934839
139.6942185,35.65923447
139.6950305,35.65976221
139.6951363,35.66400498
139.6949316,35.66388642
139.6948442,35.66442577
139.6943795,35.66466058
139.699364,35.66480239
139.7008269,35.66469313
139.7012823,35.66464663
139.7002956,35.66388177
139.7009028,35.66050382
139.7008867,35.66032946
139.7010983,35.66040385
139.7010385,35.65943208
139.700682,35.65933909
139.7007717,35.65964829
139.7001254,35.65936466
139.6995227,35.65940651
139.6992398,35.65935071
139.6992237,35.65956692
139.6994468,35.65965061
139.6991225,35.65931584
139.6993548,35.65902292
139.699479,35.65887645
139.6998815,35.65895782
139.699709,35.6591717
139.6997849,35.65950648
139.7001645,35.65901129
139.7006866,35.65905081
139.7000794,35.65853471
139.6995066,35.65831152
139.6989592,35.65811159
139.6987016,35.65827665
139.6987982,35.65806742
139.698621,35.65849751
139.6984853,35.65868814
139.6982507,35.65907406
139.6980782,35.65922982
139.6977723,35.6589462
139.6976573,35.66018532
139.6977171,35.65912056
139.6988396,35.65878579
139.6989339,35.65863467
139.7004313,35.65888808
139.7005233,35.65862305
139.7003025,35.65857655
139.7002818,35.65874394
139.7001093,35.65872069
139.7010477,35.65806974
139.7006935,35.65803487
139.7003117,35.6580372
139.6977217,35.65933909
139.6975354,35.65960412
139.6969902,35.65909034
139.6972317,35.65880206
139.6971627,35.65925772
139.69706612995972,35.660589837263366
139.6968867165037,35.66071072733311
139.6966843013226,35.66056891398207
139.69675330649798,35.66042012620392
139.6969534215066,35.660413151776815
139.69778148361127,35.66029691132514
139.698184013801,35.65997376286948
139.69836342725702,35.65991564264364
139.69825761932142,35.66011557622053
139.70090281771132,35.66099202922617
139.70090741805635,35.66130122882763
139.7009005175388,35.66113151776818
139.69641058079355,35.66094320823647
139.69522369177687,35.66102457655264
139.69456354226566,35.66077349717702
139.69463714778607,35.66067353038857
139.69472685451407,35.660722351378276
139.69510868315123,35.658864828960475
139.69486716503738,35.658829956824974
139.69431742380678,35.658792759880434
139.69543530764807,35.65889040185985
139.69493156986772,35.65830687479243
139.69438642898217,35.65826967784789
139.6955296147211,35.658346396545994
139.6956377228292,35.65850680836931
139.69609775733178,35.6583603454002
139.69598274870614,35.65816738625041
139.6962219666475,35.65855795416805
139.69646578493385,35.65849983394221
139.69649568717654,35.65861374958485
139.69569982748706,35.65889970109598
139.6958470385279,35.65913218199933
139.69662449683725,35.65889040185985
139.69664059804484,35.65849285951511
139.69675560667048,35.659141481235466
139.69603105232892,35.65953669877117
139.6958516388729,35.659213550315506
139.69571822886715,35.65926934573231
139.6957090281771,35.659448356027895
139.69549971247844,35.65945765526403
139.6955319148936,35.65982497509133
139.69573893041976,35.6598435735636
139.6961874640598,35.659899368980405
139.69642208165612,35.65994818997011
139.6968637147786,35.659762205247425
139.69745715928693,35.65957157090668
139.69710753306498,35.65980637661906
139.69698332374927,35.659592494187976
139.6973237492812,35.65864164729326
139.69652328924667,35.65807439388907
139.6967372052904,35.65805347060777
139.69406900517538,35.663851544337426
139.6942530189764,35.663953835934905
139.69401610120758,35.66434207904351
139.6946026451984,35.66423281301893
139.69454054054052,35.66486051145799
139.6942507188039,35.664988375954835
139.6957987349051,35.66252175357024
139.69598274870614,35.66266356692129
139.69528349626222,35.663335436731984
139.6964358826912,35.66030388575224
139.70153076480736,35.6621172367984
139.70151236342724,35.661963799402194
139.70129614721102,35.66352839588177
139.70192179413453,35.66364231152441
139.70191949396204,35.663440053138494
139.70144105807935,35.6646466290269
139.6977906843013,35.66236599136499
