link_id,start_id,end_id,distance,rt_struct,route_type,direction,width,vtcl_slope,lev_diff,tfc_signal,tfc_s_type,brail_tile,elevator,roof,start_lat,start_lon,end_lat,end_lon,wkt
00001B000000000309CD6FA65E8EFFC2,00001B000000000309CD6FA65E8EFFC1,00001B000000000309CD6FA65E8F7FC1,3,1,1,1,4,1,1,1,1,2,1,1,35.68975019,139.698588,35.68975258,139.6986207,"LINESTRING(139.698588026 35.689750191, 139.698620689 35.689752584)"
00001B000000000309CD77A65E92FFC3,00001B000000000309CD77A65E937FC1,00001B000000000309CD77A65E92FFC1,3,1,1,1,4,1,1,1,1,2,1,1,35.6902195,139.69884,35.69021699,139.6988069,"LINESTRING(139.698840049 35.6902195, 139.698806876 35.690216985)"
00001B000000000309CD55A65E917FC1,00001B000000000309CD55A65E907FC1,00001B000000000309CD55A65E91FFC1,6.4,1,1,1,4,1,1,1,1,1,1,1,35.68832878,139.6986876,35.68832341,139.6987582,"LINESTRING(139.69868761 35.68832878, 139.698758165 35.688323408)"
00001B000000000309CD62A65E9FFFC1,00001B000000000309CD62265EA07FC1,00001B000000000309CD63265E9FFFC1,7.2,1,1,1,4,1,1,1,1,1,1,1,35.689007,139.6995556,35.68907187,139.6995508,"LINESTRING(139.699555582 35.689006999, 139.699550791 35.689071872)"
00001B000000000309CD63265EA2FFC1,00001B000000000309CD64265EA57FC1,00001B000000000309CD62265EA07FC1,28.9,1,1,1,4,3,1,1,1,2,1,1,35.68912792,139.6998387,35.689007,139.6995556,"LINESTRING(139.699838723 35.689127915, 139.699555582 35.689006999)"
00001B000000000309CD47265E6BFFC1,00001B000000000309CD46A65E6AFFC1,00001B000000000309CD47A65E6D7FC1,12.7,1,1,1,4,1,1,1,1,2,1,1,35.68747871,139.696607,35.68754067,139.6967251,"LINESTRING(139.696607016 35.687478709, 139.696725058 35.687540671)"
00001B000000000309CD53A65E6B7FC1,00001B000000000309CD52A65E6B7FC1,00001B000000000309CD55265E6B7FC1,15.3,1,1,1,4,1,1,1,1,2,1,1,35.68815297,139.6966383,35.68829041,139.6966315,"LINESTRING(139.696638289 35.688152973, 139.696631546 35.688290414)"
00001B000000000309CD56265E91FFC1,00001B000000000309CD55A65E907FC1,00001B000000000309CD56A65E92FFC1,13.7,1,1,1,4,1,1,1,1,2,1,1,35.68832878,139.6986876,35.68838081,139.6988246,"LINESTRING(139.69868761 35.68832878, 139.698824578 35.688380807)"
00001B000000000309CDB0A65EC17FC5,00001B000000000309CDB0A65EC17FC2,00001B000000000309CDB0A65EC17FC1,0.9,1,1,1,4,1,1,1,1,2,1,1,35.69336679,139.7015982,35.69336891,139.7015882,"LINESTRING(139.701598184 35.693366788, 139.70158823 35.693368913)"
00001B000000000309CDC9265EA87FC1,00001B000000000309CDC8A65EAD7FC1,00001B000000000309CDC9A65EA87FC1,6.7,1,1,1,4,2,1,1,1,1,1,1,35.69472156,139.7002863,35.69475351,139.7002239,"LINESTRING(139.70028634 35.694721559, 139.700223906 35.694753511)"
