link_id,start_id,end_id,distance,rt_struct,route_type,direction,width,vtcl_slope,lev_diff,tfc_signal,tfc_s_type,brail_tile,elevator,roof
00001B000000000309CC5C265F257FC1,00001B000000000309CC5CA65F237FC1,00001B000000000309CC5BA65F27FFC1,21.8,1,1,1,4,1,1,1,1,1,1,1
00001B000000000309CC5E265F2BFFC1,00001B000000000309CC5D265F2AFFC1,00001B000000000309CC5F265F2CFFC1,17.4,1,1,1,4,1,1,1,1,1,1,1
00001B000000000309CC61265F29FFC2,00001B000000000309CC61A65F2A7FC1,00001B000000000309CC61265F297FC1,5.8,1,1,1,3,1,1,1,1,1,1,1
00001B000000000309CC5F265F227FC1,00001B000000000309CC5F265F21FFC1,00001B000000000309CC5FA65F237FC1,8.5,1,1,1,3,1,1,1,1,1,1,1
00001B000000000309CC5D265F247FC1,00001B000000000309CC5CA65F237FC1,00001B000000000309CC5D265F24FFC1,8.2,1,1,1,3,1,1,1,1,1,1,1
00001B000000000309CC61A65F277FC3,00001B000000000309CC61A65F277FC2,00001B000000000309CC61A65F277FC1,1.3,1,1,1,4,3,1,1,1,1,1,1
00001B000000000309CC60A65F247FC2,00001B000000000309CC60A65F247FC1,00001B000000000309CC60A65F23FFC1,1.5,1,1,1,4,2,1,1,1,1,1,1
00001B000000000309CC61265F297FC2,00001B000000000309CC61265F29FFC1,00001B000000000309CC61265F297FC1,2.2,1,1,1,4,2,1,1,1,1,1,1
00001B000000000309CC62265F26FFC1,00001B000000000309CC61A65F277FC2,00001B000000000309CC62A65F26FFC1,8.2,1,1,1,4,1,1,1,1,1,1,1
00001B000000000309CC62A65F22FFC2,00001B000000000309CC62A65F22FFC1,00001B000000000309CC62265F22FFC1,3.0,1,1,1,3,1,1,1,1,1,1,1
00001B000000000309CC5C265F277FC1,00001B000000000309CC5BA65F27FFC1,00001B000000000309CC5CA65F26FFC1,8.4,1,1,1,3,1,1,1,1,1,1,1
00001B000000000309CC54265F2AFFC1,00001B000000000309CC54A65F2BFFC1,00001B000000000309CC53A65F2A7FC1,9.9,1,1,1,2,2,1,1,1,1,1,1
00001B000000000309CC49265F1B7FC1,00001B000000000309CC49265F1BFFC1,00001B000000000309CC48A65F1B7FC1,1.6,1,1,1,4,1,2,1,1,1,1,1
00001B000000000309CC3CA65F12FFC2,00001B000000000309CC3CA65F12FFC1,00001B000000000309CC3CA65F127FC1,3.4,1,1,1,2,1,1,1,1,1,1,1
00001B000000000309CC37A65F13FFC1,00001B000000000309CC37265F147FC1,00001B000000000309CC38265F137FC1,9.8,1,1,1,2,1,1,1,1,1,1,1
00001B000000000309CC3AA65F12FFC1,00001B000000000309CC38265F137FC1,00001B000000000309CC3CA65F12FFC1,26.3,1,1,1,2,1,1,1,1,1,1,1
00001B000000000309CC35A65F387FC2,00001B000000000309CC35A65F387FC1,00001B000000000309CC36265F387FC1,2.4,1,1,1,3,1,2,1,1,1,1,1
00001B000000000309CC27265F307FC1,00001B000000000309CC28265F317FC1,00001B000000000309CC26265F2FFFC2,11.7,3,1,1,4,1,1,1,1,1,1,1
00001B000000000309CC26265F2FFFC3,00001B000000000309CC26265F2FFFC2,00001B000000000309CC26265F2FFFC1,2.2,1,1,1,4,2,1,1,1,2,1,1
00001B000000000309CC24265F327FC2,00001B000000000309CC24265F327FC1,00001B000000000309CC24265F32FFC1,1.2,1,1,1,3,2,1,1,1,2,1,1
00001B000000000309CC23A65F31FFC2,00001B000000000309CC23A65F31FFC1,00001B000000000309CC23A65F327FC1,1.1,1,1,1,3,3,1,1,1,2,1,1
00001B000000000309CBE9265F167FC3,00001B000000000309CBE9265F167FC2,00001B000000000309CBE9265F167FC1,1.1,1,1,1,4,2,1,1,1,2,1,1
00001B000000000309CBE9265F1D7FC4,00001B000000000309CBE9265F1D7FC2,00001B000000000309CBE9265F1D7FC1,0.8,1,1,1,4,2,1,1,1,2,1,1
00001B000000000309CBE9265F1DFFC3,00001B000000000309CBE9265F1DFFC2,00001B000000000309CBE9265F1DFFC1,0.9,1,1,1,4,3,1,1,1,2,1,1
00001B000000000309CBDF265F2B7FC3,00001B000000000309CBDF265F2B7FC2,00001B000000000309CBDF265F2B7FC1,1.3,1,1,1,4,3,1,1,1,2,1,1
00001B000000000309CBDF265F2A7FC1,00001B000000000309CBDA265F2A7FC1,00001B000000000309CBDF265F29FFC1,1.1,1,1,1,4,1,2,1,1,2,1,1
