48,49
49,50
34,49
32,34
32,33
28,33
27,28
32,35
35,36
29,33
29,30
31,32
30,31
30,169
169,170
31,170
31,169
30,170
31,37
36,37
37,47
44,47
36,44
46,47
46,115
114,115
111,114
46,111
45,46
44,45
43,44
43,45
42,43
42,96
43,96
43,95
95,96
42,95
38,42
36,38
38,39
26,39
24,26
24,25
25,27
26,48
34,48
39,40
22,40
22,23
19,23
19,20
20,21
21,22
23,26
18,24
7,18
7,8
8,17
17,18
18,19
6,7
6,25
5,6
4,5
3,4
3,28
2,3
1,2
1,29
0,1
0,10
1,10
0,174
170,174
0,30
170,171
171,172
173,174
172,174
173,187
187,202
173,175
0,173
174,175
0,175
175,185
184,185
183,186
183,184
181,184
181,182
182,183
186,206
205,206
202,205
188,204
203,204
202,203
204,205
188,206
188,189
189,190
190,191
191,192
190,192
191,193
193,201
200,201
194,200
193,194
182,201
180,181
177,180
194,195
180,195
195,196
196,199
195,197
178,196
177,178
176,177
176,179
178,179
176,178
177,179
10,179
176,185
11,179
11,12
12,13
178,198
5,12
2,11
198,210
210,211
211,214
210,214
199,210
199,213
212,213
212,214
8,9
9,16
16,17
16,53
20,53
52,53
16,51
51,52
84,85
83,84
82,83
76,78
78,80
80,81
79,81
78,79
21,79
20,81
41,79
41,86
86,87
87,89
88,89
86,88
42,87
89,95
88,91
91,94
93,94
93,99
98,99
94,98
94,95
96,97
97,98
98,100
100,101
97,101
101,103
101,104
102,104
102,103
102,112
96,112
100,105
104,105
106,168
105,168
100,106
106,107
107,108
108,109
109,110
110,113
113,114
110,111
108,116
116,167
166,167
116,117
107,117
118,119
119,120
120,121
121,122
119,122
121,126
123,126
123,124
124,125
125,126
120,123
92,120
92,93
90,91
90,92
127,128
75,77
76,128
128,129
129,130
123,127
71,75
71,72
72,73
73,74
69,124
68,69
69,70
70,71
66,70
66,67
67,68
161,162
67,161
161,163
163,164
68,131
133,134
132,133
65,132
64,133
64,65
63,64
57,63
62,63
61,62
57,61
60,61
60,137
136,137
62,136
9,15
15,54
51,54
51,85
134,135
63,134
135,136
136,146
145,146
137,145
137,138
59,138
59,60
58,59
56,57
56,58
55,56
55,141
58,141
58,139
139,140
140,144
138,144
144,145
140,143
143,147
148,149
149,150
150,151
151,152
142,152
152,153
151,154
153,154
154,160
151,155
155,156
159,160
158,159
156,158
156,157
14,198
13,14
6,13
111,112
169,171
172,173
175,186
54,55
64,85
68,125
152,217
217,218
218,219
215,219
215,216
216,217
217,227
15,227
15,216
14,215
198,219
141,227
218,275
258,275
257,258
256,257
255,256
214,257
261,262
211,261
258,259
253,256
253,254
252,253
251,252
250,251
249,250
212,249
247,249
244,247
212,248
246,251
245,246
246,247
244,245
235,245
243,244
242,243
240,242
239,240
238,239
238,241
240,241
235,238
232,235
232,233
233,236
236,237
234,237
233,234
159,234
160,232
235,254
254,255
153,255
154,255
148,230
230,231
142,231
143,231
143,229
229,230
142,228
140,228
141,228
138,139
133,266
266,266
263,265
213,263
197,263
213,264
221,223
13,222
99,283
106,283
107,284
283,284
118,284
285,286
117,286
118,285
119,165
165,287
117,287
166,287
167,281
278,281
278,279
279,280
113,280
114,276
115,277
37,224
224,226
37,226
47,226
225,226
115,225
267,268
266,267
164,268
164,271
164,270
163,270
163,269
162,269
66,162
66,274
65,274
273,274
272,273
65,272
75,76
80,82
66,82
78,282
88,282
127,282
40,41
109,278
131,270
270,271
47,225
153,275
169,224
8,14
