id,lon,lat
1,139.700337,35.65965526
2,139.699755,35.66007605
3,139.6992789,35.66015742
4,139.6992122,35.66019694
5,139.6990397,35.66024112
6,139.6987936,35.66031783
7,139.6985635,35.66042245
8,139.6982093,35.66057589
9,139.6977723,35.66075722
10,139.6968522,35.66117569
11,139.6996998,35.65966224
12,139.6990903,35.65979243
13,139.6986095,35.65997609
14,139.6983611,35.66007373
15,139.6975239,35.66039688
16,139.6965555,35.66096181
17,139.6970799,35.6613361
18,139.6979586,35.6610362
19,139.6982944,35.66095716
20,139.6980552,35.66124776
21,139.6977033,35.66171272
22,139.6977838,35.66174527
23,139.6980322,35.66140817
24,139.6981196,35.66128263
25,139.6986486,35.6607828
26,139.698697,35.66075257
27,139.6986901,35.66085719
28,139.6987913,35.6607177
29,139.6993962,35.66062936
30,139.6999804,35.66052939
31,139.7006521,35.66037363
32,139.7006659,35.66051312
33,139.6997251,35.66068283
34,139.6997067,35.66060379
35,139.6995434,35.6607177
36,139.6998125,35.66107107
37,139.7001369,35.66137097
38,139.7006406,35.66099203
39,139.6993847,35.6619824
40,139.6988258,35.66168947
41,139.6983726,35.66158253
42,139.6980943,35.66226137
43,139.6992122,35.66228927
44,139.6994008,35.66226835
45,139.7002588,35.66148954
46,139.7003232,35.66220325
47,139.7006774,35.66213119
48,139.7006153,35.66125241
49,139.6990535,35.66075722
50,139.6992099,35.66087579
51,139.6993272,35.66145467
52,139.6966498,35.66149186
53,139.6970845,35.6617011
54,139.6973007,35.66149651
55,139.6962795,35.66126636
56,139.6960886,35.66149884
57,139.6959689,35.66161973
58,139.6947315,35.66285885
59,139.6959045,35.66158951
60,139.6954721,35.66209399
61,139.6950834,35.66248223
62,139.694674,35.66277981
63,139.6946072,35.66283793
64,139.694674,35.66289837
65,139.6948511,35.66301926
66,139.6950351,35.66315643
67,139.6954606,35.6635284
68,139.6953134,35.66376088
69,139.6955756,35.66386084
70,139.6957803,35.66368183
71,139.6956492,35.66353305
72,139.6960035,35.6632192
73,139.6962611,35.66338426
74,139.6960932,35.66352607
75,139.6961622,35.66357257
76,139.696843,35.66252175
77,139.6969787,35.66240551
78,139.6970569,35.66271936
79,139.6973237,35.66226137
80,139.6974411,35.66217536
81,139.6972225,35.66218698
82,139.6973629,35.66211026
83,139.6968223,35.66241714
84,139.6966291,35.6622823
85,139.6967671,35.66210794
86,139.696222,35.66178479
87,139.6984853,35.66228927
88,139.6986026,35.66228927
89,139.6984531,35.66242411
90,139.6986118,35.66243341
91,139.6981932,35.66378645
92,139.6983588,35.66319362
93,139.6989684,35.6640352
94,139.6991225,35.66345633
95,139.6991432,35.66337263
96,139.699157,35.66245898
97,139.6993433,35.66246828
98,139.6993226,35.66296347
99,139.6993111,35.66341448
100,139.6992881,35.6635284
101,139.6997941,35.66341681
102,139.6997274,35.66292395
103,139.700314,35.66257522
104,139.6997274,35.66263102
105,139.7001921,35.6629193
106,139.7002381,35.66338426
107,139.6998401,35.66392594
108,139.6998562,35.66415609
109,139.7012156,35.66411425
110,139.7011581,35.66354002
111,139.701027,35.66332149
112,139.7006751,35.66236134
113,139.7003416,35.66233809
114,139.7011788,35.66319827
115,139.7009028,35.66230787
116,139.7009235,35.66209631
117,139.7012616,35.66450714
118,139.6999482,35.66462338
119,139.6989753,35.66455596
120,139.6988948,35.6646722
121,139.6987223,35.66461176
122,139.6984807,35.66478147
123,139.6988051,35.66487679
124,139.6969488,35.66434208
125,139.6968154,35.66429791
126,139.6967096,35.66447924
127,139.6968936,35.66453039
128,139.6973997,35.66270541
129,139.6972915,35.66276353
130,139.6971259,35.66339821
131,139.6968775,35.66338193
132,139.6947154,35.66492096
133,139.6946624,35.6634726
134,139.6944646,35.66336333
135,139.6942852,35.66323779
136,139.6940575,35.66305646
