65,3,4,4,"LINESTRING(139.6992122 35.66019694, 139.6990397 35.66024112)"
66,3,28,4,"LINESTRING(139.6992122 35.66019694, 139.6993962 35.66062936)"
67,2,3,4,"LINESTRING(139.6992789 35.66015742, 139.6992122 35.66019694)"
68,1,2,4,"LINESTRING(139.699755 35.66007605, 139.6992789 35.66015742)"
69,1,29,4,"LINESTRING(139.699755 35.66007605, 139.6999804 35.66052939)"
70,0,1,4,"LINESTRING(139.700337 35.65965526, 139.699755 35.66007605)"
71,0,10,4,"LINESTRING(139.700337 35.65965526, 139.6996998 35.65966224)"
72,1,10,4,"LINESTRING(139.699755 35.66007605, 139.6996998 35.65966224)"
73,0,174,4,"LINESTRING(139.700337 35.65965526, 139.7007717 35.65964829)"
74,170,174,4,"LINESTRING(139.7008867 35.66032946, 139.7007717 35.65964829)"
75,0,30,4,"LINESTRING(139.700337 35.65965526, 139.7006521 35.66037363)"
76,170,171,4,"LINESTRING(139.7008867 35.66032946, 139.7010983 35.66040385)"
77,171,172,4,"LINESTRING(139.7010983 35.66040385, 139.7010385 35.65943208)"
78,173,174,4,"LINESTRING(139.700682 35.65933909, 139.7007717 35.65964829)"
79,172,174,4,"LINESTRING(139.7010385 35.65943208, 139.7007717 35.65964829)"
80,173,187,4,"LINESTRING(139.700682 35.65933909, 139.7006866 35.65905081)"
81,187,202,4,"LINESTRING(139.7006866 35.65905081, 139.7004313 35.65888808)"
82,173,175,4,"LINESTRING(139.700682 35.65933909, 139.7001254 35.65936466)"
83,0,173,4,"LINESTRING(139.700337 35.65965526, 139.700682 35.65933909)"
84,174,175,4,"LINESTRING(139.7007717 35.65964829, 139.7001254 35.65936466)"
85,0,175,4,"LINESTRING(139.700337 35.65965526, 139.7001254 35.65936466)"
86,175,185,4,"LINESTRING(139.7001254 35.65936466, 139.6997849 35.65950648)"
87,184,185,4,"LINESTRING(139.699709 35.6591717, 139.6997849 35.65950648)"
88,183,186,4,"LINESTRING(139.6998815 35.65895782, 139.7001645 35.65901129)"
89,183,184,4,"LINESTRING(139.6998815 35.65895782, 139.699709 35.6591717)"
90,181,184,4,"LINESTRING(139.6993548 35.65902292, 139.699709 35.6591717)"
91,181,182,4,"LINESTRING(139.6993548 35.65902292, 139.699479 35.65887645)"
92,182,183,4,"LINESTRING(139.699479 35.65887645, 139.6998815 35.65895782)"
93,186,206,4,"LINESTRING(139.7001645 35.65901129, 139.7001093 35.65872069)"
94,205,206,4,"LINESTRING(139.7002818 35.65874394, 139.7001093 35.65872069)"
95,202,205,4,"LINESTRING(139.7004313 35.65888808, 139.7002818 35.65874394)"
96,188,204,4,"LINESTRING(139.7000794 35.65853471, 139.7003025 35.65857655)"
