0,48,49
1,49,50
2,34,49
3,32,34
4,32,33
5,28,33
6,27,28
7,32,35
8,35,36
9,29,33
10,29,30
11,31,32
12,30,31
13,30,169
14,169,170
15,31,170
16,31,169
17,30,170
18,31,37
19,36,37
20,37,47
21,44,47
22,36,44
23,46,47
24,46,115
25,114,115
26,111,114
27,46,111
28,45,46
29,44,45
30,43,44
31,43,45
32,42,43
33,42,96
34,43,96
35,43,95
36,95,96
37,42,95
38,38,42
39,36,38
40,38,39
41,26,39
42,24,26
43,24,25
44,25,27
45,26,48
46,34,48
47,39,40
48,22,40
49,22,23
50,19,23
51,19,20
52,20,21
53,21,22
54,23,26
55,18,24
56,7,18
57,7,8
58,8,17
59,17,18
60,18,19
61,6,7
62,6,25
63,5,6
64,4,5
65,3,4
66,3,28
67,2,3
68,1,2
69,1,29
70,0,1
71,0,10
72,1,10
73,0,174
74,170,174
75,0,30
76,170,171
77,171,172
78,173,174
79,172,174
80,173,187
81,187,202
82,173,175
83,0,173
84,174,175
85,0,175
86,175,185
87,184,185
88,183,186
89,183,184
90,181,184
91,181,182
92,182,183
93,186,206
94,205,206
95,202,205
96,188,204
97,203,204
98,202,203
99,204,205
100,188,206
101,188,189
102,189,190
103,190,191
104,191,192
105,190,192
106,191,193
107,193,201
108,200,201
109,194,200
110,193,194
111,182,201
112,180,181
113,177,180
114,194,195
115,180,195
116,195,196
117,196,199
118,195,197
119,178,196
120,177,178
121,176,177
122,176,179
123,178,179
124,176,178
125,177,179
126,10,179
127,176,185
128,11,179
129,11,12
130,12,13
131,178,198
132,5,12
133,2,11
134,198,210
135,210,211
136,211,214
137,210,214
138,199,210
139,199,213
140,212,213
141,212,214
142,8,9
143,9,16
144,16,17
145,16,53
146,20,53
147,52,53
148,16,51
149,51,52
150,84,85
151,83,84
152,82,83
153,76,78
154,78,80
155,80,81
156,79,81
157,78,79
158,21,79
159,20,81
160,41,79
161,41,86
162,86,87
163,87,89
164,88,89
165,86,88
166,42,87
167,89,95
168,88,91
169,91,94
170,93,94
171,93,99
172,98,99
173,94,98
174,94,95
175,96,97
176,97,98
177,98,100
178,100,101
179,97,101
180,101,103
181,101,104
182,102,104
183,102,103
184,102,112
185,96,112
186,100,105
187,104,105
188,106,168
189,105,168
190,100,106
191,106,107
192,107,108
193,108,109
194,109,110
195,110,113
196,113,114
197,110,111
198,108,116
199,116,167
200,166,167
201,116,117
202,107,117
203,118,119
204,119,120
205,120,121
206,121,122
207,119,122
208,121,126
209,123,126
210,123,124
211,124,125
212,125,126
213,120,123
214,92,120
215,92,93
216,90,91
217,90,92
218,127,128
219,75,77
220,76,128
221,128,129
222,129,130
223,123,127
224,71,75
225,71,72
226,72,73
227,73,74
228,69,124
229,68,69
230,69,70
231,70,71
232,66,70
233,66,67
234,67,68
235,161,162
236,67,161
237,161,163
238,163,164
239,68,131
240,133,134
241,132,133
242,65,132
243,64,133
244,64,65
245,63,64
246,57,63
247,62,63
248,61,62
249,57,61
250,60,61
251,60,137
252,136,137
253,62,136
254,9,15
255,15,54
256,51,54
257,51,85
258,134,135
259,63,134
260,135,136
261,136,146
262,145,146
263,137,145
264,137,138
265,59,138
266,59,60
267,58,59
268,56,57
269,56,58
270,55,56
271,55,141
272,58,141
273,58,139
274,139,140
275,140,144
276,138,144
277,144,145
278,140,143
279,143,147
280,148,149
281,149,150
282,150,151
283,151,152
284,142,152
285,152,153
286,151,154
287,153,154
288,154,160
289,151,155
290,155,156
291,159,160
292,158,159
293,156,158
294,156,157
295,14,198
296,13,14
297,6,13
298,111,112
299,169,171
300,172,173
301,175,186
302,54,55
303,64,85
304,68,125
305,152,217
306,217,218
307,218,219
308,215,219
309,215,216
310,216,217
311,217,227
312,15,227
313,15,216
314,14,215
315,198,219
316,141,227
317,218,275
318,258,275
319,257,258
320,256,257
321,255,256
322,214,257
323,261,262
324,211,261
325,258,259
326,253,256
327,253,254
328,252,253
329,251,252
330,250,251
331,249,250
332,212,249
333,247,249
334,244,247
335,212,248
336,246,251
337,245,246
338,246,247
339,244,245
340,235,245
341,243,244
342,242,243
343,240,242
344,239,240
345,238,239
346,238,241
347,240,241
348,235,238
349,232,235
350,232,233
351,233,236
352,236,237
353,234,237
354,233,234
355,159,234
356,160,232
357,235,254
358,254,255
359,153,255
360,154,255
361,148,230
362,230,231
363,142,231
364,143,231
365,143,229
366,229,230
367,142,228
368,140,228
369,141,228
370,138,139
371,133,266
372,266,266
373,263,265
374,213,263
375,197,263
376,213,264
377,221,223
378,13,222
379,99,283
380,106,283
381,107,284
382,283,284
383,118,284
384,285,286
385,117,286
386,118,285
387,119,165
388,165,287
389,117,287
390,166,287
391,167,281
392,278,281
393,278,279
394,279,280
395,113,280
396,114,276
397,115,277
398,37,224
399,224,226
400,37,226
401,47,226
402,225,226
403,115,225
404,267,268
405,266,267
406,164,268
407,164,271
408,164,270
409,163,270
410,163,269
411,162,269
412,66,162
413,66,274
414,65,274
415,273,274
416,272,273
417,65,272
418,75,76
419,80,82
420,66,82
421,78,282
422,88,282
423,127,282
424,40,41
425,109,278
426,131,270
427,270,271
428,47,225
429,153,275
430,169,224
431,8,14
